label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Dress,0,0,95.6875,142.3125,137.875,0,0,0,0,101.75,127.9375,117.6875,0,0,0,0,96.125,122.5625,101.6875,0,0,0,0,112.1875,131.5,121.75,0,0,0,0,121.875,148.6875,133.25,1.5625,0,0,0,141.6875,161.75,152.0625,13.75,0,0,0,143.4375,170.875,166,23.6875,0
Ankle boot,0,0,0.875,66.4375,7.25,52.9375,35.4375,0,0,0.125,218.625,207.375,198.4375,92.3125,0,0,6.3125,217.375,217.375,185.875,143.5,0,0.3125,57.75,193.6875,211.8125,206.5625,171.4375,12.3125,42.0625,127.375,220.875,201.75,191.25,153.625,155.5625,206.5625,226.3125,202.1875,40.3125,155.75,139.4375,65.25,120.625,135.75,66.1875,0.8125,94.6875,79.875
Shirt,0.125,29.625,126.625,108.625,128.875,61.0625,0.125,0,83.8125,87.75,87,88.0625,117.4375,0.125,0,119.375,140.125,141.5,143.25,123.125,11.375,1.3125,94.0625,145,123.9375,136.6875,110.75,30.1875,20.75,118.375,95.5,94.25,89.75,139.625,51.25,28.125,95.9375,109.1875,116.9375,93.0625,103.0625,47.75,18.875,56.5625,98.875,84.125,98.9375,86.5,43.3125
Trouser,0,0,117.3125,182.75,142.4375,0,0,0,0,133.125,189.1875,171.5,0,0,0,0,113,150.6875,165.5,0,0,0,0,89.25,125.25,146.9375,0,0,0,0,98.8125,61.5,149.5,0,0,0,0,83.5,53.5625,137,0,0,0,0,61.0625,40.9375,98.25,0,0
Coat,0,13.375,109.1875,230.875,118.3125,18.0625,0,0,116.5,195.5625,190,196.5,134.3125,0,0,159.5,205.6875,205.5,206.375,165.25,0,0,178.3125,205.375,205.375,203.4375,186.75,0,0,188.3125,219.25,207.125,218.875,207.875,0,0,184.5,67.75,69.3125,69.3125,189,0,0,146.3125,0.5625,0,0.5,141.3125,0
T-shirt/top,0,19.3125,168.125,146.6875,167.8125,24,0,0,28.875,194.9375,194.3125,190.625,23.8125,0,0,5.1875,191,201,194.375,17.125,0,0,13.0625,189.25,186.5,192.375,13.1875,0,0,44.5,191.875,191.4375,193.25,38.4375,0,0,66.9375,194.5,194,193,68.375,0,0,78.1875,182.3125,180.5,177.1875,89.5625,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.1875,19.9375,91.5625,13.375,10.4375,34.375,60.6875,79.0625,171.875,153.1875,153.3125,173.1875,142.4375,65.125,87.8125,114.0625,119.5,102.5625,110,91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bag,0,0,0,0,0,0,0,1.25,1.5,67.25,42.5625,74.5625,1.125,0.75,116.625,132.625,167.9375,125,166.0625,121.125,113.375,141.0625,156.8125,181.375,151.4375,178.6875,155.875,133.1875,147.1875,170.5625,186.0625,154,179.875,161.75,132.75,135.3125,200.5625,205.25,180.25,187.4375,176.5625,137.75,4.4375,3.5,8,6.5,0,1.5,3.5
Ankle boot,0,0,0,6.3125,8.625,0,14.375,0,0,0,49.375,200.625,188.625,100.875,0,0,0.1875,107.0625,218.5,221.9375,102.875,0,0,10.5625,197.875,219.875,220.125,169.8125,0.4375,4.125,142.3125,207.125,220.0625,211.0625,177.5625,96.5625,176,215.875,216.8125,115.1875,177.125,162.625,15.25,58.1875,72.5,22.1875,0.375,61.25,59.9375
T-shirt/top,0.0625,85.5625,191.1875,190.5,186.6875,93.5625,0,8.8125,211.1875,177.0625,172.125,169.25,216.875,10.8125,0.125,12.4375,158.625,110,185.4375,0.1875,0,0,0.5,176.625,221.625,223.3125,0.8125,0,0,0.3125,218.875,221.5,223.1875,30.5625,0,0,33.1875,225.375,223.0625,222.125,62,0,0,46.1875,183.25,206.3125,190.0625,63.3125,0
