Row,model,sample_size,Data,A,B,C,Points
1,svm8,2000,dat_2000_2,0.0333,0.0181,0.1961,0.1539
2,rf9,2000,dat_2000_3,0.0333,0.0943,0.1897,0.1567
3,svm9,2000,dat_2000_3,0.0333,0.0186,0.2006,0.1573
4,rf8,2000,dat_2000_2,0.0333,0.0893,0.1927,0.1585
5,rf7,2000,dat_2000_1,0.0333,0.0929,0.1974,0.1623
6,rf5,1000,dat_1000_2,0.0167,0.0464,0.209,0.1639
7,svm4,1000,dat_1000_1,0.0167,0.0077,0.2154,0.1648
8,svm7,2000,dat_2000_1,0.0333,0.0171,0.2131,0.1665
9,rf6,1000,dat_1000_3,0.0167,0.0446,0.215,0.1682
10,svm6,1000,dat_1000_3,0.0167,0.0088,0.2229,0.1706
11,rf4,1000,dat_1000_1,0.0167,0.0458,0.2183,0.1708
12,svm5,1000,dat_1000_2,0.0167,0.0077,0.2244,0.1716
13,knn7,2000,dat_2000_1,0.0333,0.0085,0.2219,0.1723
14,knn9,2000,dat_2000_3,0.0333,0.0092,0.2243,0.1741
15,knn8,2000,dat_2000_2,0.0333,0.0083,0.2262,0.1755
16,rf3,500,dat_500_3,0.0083,0.0233,0.2312,0.177
17,ridge8,2000,dat_2000_2,0.0333,0.0794,0.2233,0.1804
18,ridge9,2000,dat_2000_3,0.0333,0.0819,0.2243,0.1814
19,svm1,500,dat_500_1,0.0083,0.0069,0.2393,0.1814
20,ridge2,500,dat_500_2,0.0083,0.0234,0.2373,0.1816
21,ridge5,1000,dat_1000_2,0.0167,0.0402,0.2335,0.1816
22,svm2,500,dat_500_2,0.0083,0.0043,0.2401,0.1818
23,svm3,500,dat_500_3,0.0083,0.0038,0.2403,0.1819
24,gbm5,1000,dat_1000_2,0.0167,0.0625,0.2313,0.1822
25,gbm8,2000,dat_2000_2,0.0333,0.1229,0.22,0.1823
26,rf1,500,dat_500_1,0.0083,0.025,0.2395,0.1834
27,gbm9,2000,dat_2000_3,0.0333,0.1225,0.2222,0.1839
28,gbm4,1000,dat_1000_1,0.0167,0.065,0.2341,0.1846
29,ridge4,1000,dat_1000_1,0.0167,0.0417,0.2375,0.1848
30,ridge6,1000,dat_1000_3,0.0167,0.0431,0.2378,0.1852
31,ridge1,500,dat_500_1,0.0083,0.0304,0.2416,0.1855
32,gbm7,2000,dat_2000_1,0.0333,0.124,0.2258,0.1867
33,gbm6,1000,dat_1000_3,0.0167,0.0642,0.2372,0.1868
34,rf2,500,dat_500_2,0.0083,0.0238,0.2449,0.1873
35,gbm3,500,dat_500_3,0.0083,0.0344,0.2446,0.1881
36,knn6,1000,dat_1000_3,0.0167,0.0043,0.2478,0.1888
37,knn5,1000,dat_1000_2,0.0167,0.0043,0.2481,0.189
38,ridge3,500,dat_500_3,0.0083,0.0239,0.2474,0.1892
39,multinom9,2000,dat_2000_3,0.0333,0.0156,0.2447,0.1901
40,gbm2,500,dat_500_2,0.0083,0.0348,0.2518,0.1936
41,ridge7,2000,dat_2000_1,0.0333,0.0824,0.2409,0.1939
42,lasso6,1000,dat_1000_3,0.0167,0.2568,0.2239,0.1961
43,knn4,1000,dat_1000_1,0.0167,0.0053,0.2575,0.1962
44,lasso3,500,dat_500_3,0.0083,0.1623,0.2394,0.197
45,nn8,2000,dat_2000_2,0.0333,0.0198,0.2539,0.1974
46,lasso2,500,dat_500_2,0.0083,0.1851,0.2399,0.1997
47,gbm1,500,dat_500_1,0.0083,0.0351,0.2612,0.2007
48,multinom8,2000,dat_2000_2,0.0333,0.0166,0.2601,0.2017
49,lasso5,1000,dat_1000_2,0.0167,0.3423,0.2213,0.2027
50,multinom7,2000,dat_2000_1,0.0333,0.0157,0.2617,0.2028
51,lasso4,1000,dat_1000_1,0.0167,0.3741,0.2183,0.2036
52,knn2,500,dat_500_2,0.0083,0.0023,0.2708,0.2046
53,lasso8,2000,dat_2000_2,0.0333,0.5054,0.2008,0.2061
54,lasso1,500,dat_500_1,0.0083,0.2191,0.2447,0.2067
55,nn5,1000,dat_1000_2,0.0167,0.0104,0.274,0.209
56,knn1,500,dat_500_1,0.0083,0.0026,0.2776,0.2097
57,nn7,2000,dat_2000_1,0.0333,0.0211,0.2709,0.2103
58,lasso9,2000,dat_2000_3,0.0333,0.5698,0.2015,0.2131
59,knn3,500,dat_500_3,0.0083,0.0023,0.2826,0.2134
60,nn9,2000,dat_2000_3,0.0333,0.0205,0.2769,0.2147
61,multinom1,500,dat_500_1,0.0083,0.0062,0.2884,0.2182
62,nn4,1000,dat_1000_1,0.0167,0.0103,0.2873,0.219
63,multinom4,1000,dat_1000_1,0.0167,0.0081,0.2905,0.2212
64,nn6,1000,dat_1000_3,0.0167,0.011,0.295,0.2248
65,nn2,500,dat_500_2,0.0083,0.0066,0.3033,0.2294
66,multinom6,1000,dat_1000_3,0.0167,0.0083,0.3023,0.2301
67,gbm_tuned2,500,dat_500_2,0.0083,0.4544,0.2473,0.2322
68,lasso7,2000,dat_2000_1,0.0333,0.6384,0.2186,0.2328
69,gbm_tuned1,500,dat_500_1,0.0083,0.4269,0.2532,0.2338
70,gbm_tuned5,1000,dat_1000_2,0.0167,0.7135,0.2141,0.2344
71,multinom5,1000,dat_1000_2,0.0167,0.0081,0.3168,0.2409
72,nn3,500,dat_500_3,0.0083,0.011,0.319,0.2416
73,nn1,500,dat_500_1,0.0083,0.0077,0.3209,0.2427
74,gbm_tuned6,1000,dat_1000_3,0.0167,0.7202,0.2286,0.246
75,rf_tuned9,2000,dat_2000_3,0.0333,1,0.1887,0.2465
76,multinom2,500,dat_500_2,0.0083,0.006,0.3272,0.2473
77,gbm_tuned4,1000,dat_1000_1,0.0167,0.7701,0.2248,0.2481
78,rf_tuned8,2000,dat_2000_2,0.0333,1,0.1909,0.2482
79,gbm_tuned9,2000,dat_2000_3,0.0333,1,0.1916,0.2487
80,gbm_tuned8,2000,dat_2000_2,0.0333,1,0.1923,0.2492
81,gbm_tuned7,2000,dat_2000_1,0.0333,1,0.1973,0.253
82,rf_tuned7,2000,dat_2000_1,0.0333,1,0.1974,0.253
83,rf_tuned5,1000,dat_1000_2,0.0167,1,0.2113,0.261
84,multinom3,500,dat_500_3,0.0083,0.0046,0.3479,0.2626
85,rf_tuned6,1000,dat_1000_3,0.0167,1,0.2168,0.2651
86,rf_tuned4,1000,dat_1000_1,0.0167,1,0.2196,0.2672
87,rf_tuned3,500,dat_500_3,0.0083,1,0.2294,0.2733
88,gbm_tuned3,500,dat_500_3,0.0083,1,0.2331,0.2761
89,rf_tuned1,500,dat_500_1,0.0083,1,0.241,0.282
90,rf_tuned2,500,dat_500_2,0.0083,1,0.2421,0.2828
