Row,Model,sample_size,A,B,C,Points
1,svm,2000,0.0333,0.0179,0.2033,0.1592
2,rf,2000,0.0333,0.0922,0.1933,0.1592
3,rf,1000,0.0167,0.0456,0.2141,0.1676
4,svm,1000,0.0167,0.0081,0.2209,0.169
5,knn,2000,0.0333,0.0087,0.2241,0.174
6,svm,500,0.0083,0.005,0.2399,0.1817
7,rf,500,0.0083,0.024,0.2385,0.1826
8,ridge,1000,0.0167,0.0417,0.2363,0.1839
9,gbm,2000,0.0333,0.1231,0.2227,0.1843
10,gbm,1000,0.0167,0.0639,0.2342,0.1845
11,ridge,2000,0.0333,0.0812,0.2295,0.1852
12,ridge,500,0.0083,0.0259,0.2421,0.1854
13,knn,1000,0.0167,0.0046,0.2511,0.1913
14,gbm,500,0.0083,0.0348,0.2525,0.1941
15,multinom,2000,0.0333,0.016,0.2555,0.1982
16,lasso,1000,0.0167,0.3244,0.2212,0.2008
17,lasso,500,0.0083,0.1888,0.2413,0.2011
18,nn,2000,0.0333,0.0205,0.2672,0.2075
19,knn,500,0.0083,0.0024,0.277,0.2092
20,lasso,2000,0.0333,0.5712,0.207,0.2173
21,nn,1000,0.0167,0.0106,0.2854,0.2176
22,multinom,1000,0.0167,0.0082,0.3032,0.2307
23,nn,500,0.0083,0.0084,0.3144,0.2379
24,multinom,500,0.0083,0.0056,0.3212,0.2427
25,gbm_tuned,1000,0.0167,0.7346,0.2225,0.2428
26,gbm_tuned,500,0.0083,0.6271,0.2445,0.2474
27,rf_tuned,2000,0.0333,1,0.1923,0.2492
28,gbm_tuned,2000,0.0333,1,0.1937,0.2503
29,rf_tuned,1000,0.0167,1,0.2159,0.2644
30,rf_tuned,500,0.0083,1,0.2375,0.2794
